term,resource,domain,definition,data_type,format,required,terminology_binding,classification,ferpa,glba,source_file
institution_id,Program,Academic Structure,,string,,True,,public,False,False,core/resources/program.json
code,Program,Academic Structure,Institution's program code,string,,False,,public,False,False,core/resources/program.json
name,Program,Academic Structure,"Official program name (e.g., 'Computer Science')",string,,True,,public,False,False,core/resources/program.json
degree_type,Program,Academic Structure,"Degree designation (e.g., 'BS', 'BA', 'MS', 'PhD', 'AAS')",string,,False,,public,False,False,core/resources/program.json
degree_level,Program,Academic Structure,,string,,True,"enum: associate, bachelors, masters, doctoral, professional...",public,False,False,core/resources/program.json
program_type,Program,Academic Structure,,string,,True,"enum: major, minor, concentration, certificate, credential...",public,False,False,core/resources/program.json
cip_code,Program,Academic Structure,"NCES Classification of Instructional Programs code (e.g., '11.0701')",string,,False,,public,False,False,core/resources/program.json
academic_org_ref,Program,Academic Structure,HELIX ID of the owning college/school/department,string,,False,,public,False,False,core/resources/program.json
total_credit_hours_required,Program,Academic Structure,,number,,False,,public,False,False,core/resources/program.json
is_active,Program,Academic Structure,,boolean,,False,,public,False,False,core/resources/program.json
accreditation_body,Program,Academic Structure,External accreditor if program-level accreditation exists,string,,False,,public,False,False,core/resources/program.json
delivery_mode,Program,Academic Structure,Primary delivery mode for the program,string,,False,"enum: in_person, online, hybrid, competency_based, correspondence...",public,False,False,core/resources/program.json
program_length_terms,Program,Academic Structure,Expected program length in standard terms,integer,,False,,public,False,False,core/resources/program.json
admission_selectivity,Program,Academic Structure,Program-level admission selectivity,string,,False,"enum: open_admission, selective, highly_selective, special_admission",public,False,False,core/resources/program.json
stackable_credentials,Program,Academic Structure,HELIX IDs of related Programs that stack into this credential,array,,False,,public,False,False,core/resources/program.json
gainful_employment_flag,Program,Academic Structure,Whether the program is subject to Gainful Employment reporting (US),boolean,,False,,public,False,False,core/resources/program.json
helix_id,Student,Identity,Globally unique HELIX identifier,string,uuid,True,,confidential,True,False,core/resources/student.json
institution_id,Student,Identity,HELIX identifier for the institution (references Institution resource),string,,True,,confidential,True,False,core/resources/student.json
identifiers,Student,Identity,All known identifiers for this student across systems,array,,True,,confidential,True,False,core/resources/student.json
name,Student,Identity,,object,,False,,confidential,True,False,core/resources/student.json
birth_date,Student,Identity,,string,date,False,,confidential,True,False,core/resources/student.json
gender,Student,Identity,Bound to HELIX terminology: helix/gender,string,,False,,confidential,True,False,core/resources/student.json
status,Student,Identity,Current lifecycle status. Bound to HELIX terminology: helix/student-status,string,,True,helix/student-status,confidential,True,False,core/resources/student.json
first_generation_flag,Student,Identity,,boolean,,False,,confidential,True,False,core/resources/student.json
citizenship_country,Student,Identity,,string,iso-3166-1-alpha-2,False,,confidential,True,False,core/resources/student.json
residency,Student,Identity,,string,,False,"enum: in_state, out_of_state, international, unknown",confidential,True,False,core/resources/student.json
demographics,Student,Identity,Extension point for institution- or country-specific demographic attributes,object,,False,,confidential,True,False,core/resources/student.json
person_ref,Student,Identity,HELIX ID of the underlying Person resource. A Student is a role on a Person.,string,,False,,confidential,True,False,core/resources/student.json
student_type,Student,Identity,Classification of the student's entry pathway,string,,False,"enum: first_time_freshman, transfer, readmit, continuing, dual_enrollment...",confidential,True,False,core/resources/student.json
academic_level,Student,Identity,Current academic career/level,string,,False,"enum: undergraduate, graduate, doctoral, professional, non_degree...",confidential,True,False,core/resources/student.json
class_standing,Student,Identity,Current class standing based on earned credit hours,string,,False,"enum: freshman, sophomore, junior, senior, post_baccalaureate...",confidential,True,False,core/resources/student.json
full_part_time,Student,Identity,Enrollment intensity. Critical for financial aid and IPEDS reporting.,string,,False,"enum: full_time, three_quarter_time, half_time, less_than_half_time, not_enrolled",confidential,True,False,core/resources/student.json
cumulative_gpa,Student,Identity,Overall cumulative GPA,number,,False,,confidential,True,False,core/resources/student.json
total_credits_earned,Student,Identity,,number,,False,,confidential,True,False,core/resources/student.json
total_credits_attempted,Student,Identity,,number,,False,,confidential,True,False,core/resources/student.json
admit_period_ref,Student,Identity,HELIX ID of the AcademicPeriod when the student was first admitted,string,,False,,confidential,True,False,core/resources/student.json
matriculation_date,Student,Identity,Date the student first enrolled (matriculated),string,date,False,,confidential,True,False,core/resources/student.json
expected_graduation_date,Student,Identity,,string,date,False,,confidential,True,False,core/resources/student.json
primary_program_ref,Student,Identity,HELIX ID of the student's primary StudentProgram,string,,False,,confidential,True,False,core/resources/student.json
cohort,Student,Identity,"Cohort identifier for tracking (e.g., 'Fall 2024 FTFT' for first-time full-time)",string,,False,,confidential,True,False,core/resources/student.json
veteran_status,Student,Identity,Military/veteran classification for benefits and reporting,string,,False,"enum: none, veteran, active_duty, reserve_national_guard, dependent_spouse...",confidential,True,False,core/resources/student.json
international_student,Student,Identity,International student attributes (populated only for non-domestic students),object,,False,,confidential,True,False,core/resources/student.json
helix_id,StudentProgram,Enrollment & Registration,,string,uuid,True,,confidential,True,False,core/resources/student_program.json
student_ref,StudentProgram,Enrollment & Registration,HELIX ID of the Student,string,,True,,confidential,True,False,core/resources/student_program.json
program_ref,StudentProgram,Enrollment & Registration,HELIX ID of the Program,string,,True,,confidential,True,False,core/resources/student_program.json
academic_level,StudentProgram,Enrollment & Registration,Academic career/level for this program enrollment,string,,False,"enum: undergraduate, graduate, doctoral, professional, non_degree...",confidential,True,False,core/resources/student_program.json
program_status,StudentProgram,Enrollment & Registration,Current status within this program,string,,True,"enum: active, completed, withdrawn, dismissed, suspended...",confidential,True,False,core/resources/student_program.json
is_primary,StudentProgram,Enrollment & Registration,Whether this is the student's primary program (for students with multiple programs),boolean,,False,,confidential,True,False,core/resources/student_program.json
start_period_ref,StudentProgram,Enrollment & Registration,HELIX ID of the AcademicPeriod when the student entered this program,string,,True,,confidential,True,False,core/resources/student_program.json
expected_completion_period_ref,StudentProgram,Enrollment & Registration,HELIX ID of the expected graduation/completion period,string,,False,,confidential,True,False,core/resources/student_program.json
actual_completion_date,StudentProgram,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/student_program.json
catalog_year,StudentProgram,Enrollment & Registration,"Catalog year governing degree requirements (e.g., '2024-2025')",string,,False,,confidential,True,False,core/resources/student_program.json
advisor_name,StudentProgram,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/student_program.json
advisor_ref,StudentProgram,Enrollment & Registration,HELIX ID or identifier for the assigned advisor,string,,False,,confidential,True,False,core/resources/student_program.json
class_standing,StudentProgram,Enrollment & Registration,Current class standing based on credit hours earned,string,,False,"enum: freshman, sophomore, junior, senior, post_baccalaureate...",confidential,True,False,core/resources/student_program.json
cumulative_gpa,StudentProgram,Enrollment & Registration,Cumulative GPA within this program/career,number,,False,,confidential,True,False,core/resources/student_program.json
total_credits_earned,StudentProgram,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/student_program.json
total_credits_attempted,StudentProgram,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/student_program.json
helix_id,TransferCredit,Enrollment & Registration,,string,uuid,True,,confidential,True,False,core/resources/transfer_credit.json
student_ref,TransferCredit,Enrollment & Registration,,string,,True,,confidential,True,False,core/resources/transfer_credit.json
institution_id,TransferCredit,Enrollment & Registration,HELIX ID of the receiving (current) institution,string,,True,,confidential,True,False,core/resources/transfer_credit.json
source_institution_name,TransferCredit,Enrollment & Registration,Name of the institution where credit was earned,string,,False,,confidential,True,False,core/resources/transfer_credit.json
source_institution_id,TransferCredit,Enrollment & Registration,"HELIX ID of the source institution if registered, or external ID (FICE, OPEID, CEEB)",string,,False,,confidential,True,False,core/resources/transfer_credit.json
source_course_subject,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
source_course_number,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
source_course_title,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
source_credit_hours,TransferCredit,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/transfer_credit.json
source_grade,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
source_term,TransferCredit,Enrollment & Registration,Term/period at the source institution when the course was taken,string,,False,,confidential,True,False,core/resources/transfer_credit.json
equivalent_course_ref,TransferCredit,Enrollment & Registration,HELIX ID of the equivalent Course at the receiving institution. Null if accepted as elective.,string,,False,,confidential,True,False,core/resources/transfer_credit.json
equivalent_subject,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
equivalent_course_number,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
credit_hours_accepted,TransferCredit,Enrollment & Registration,Credit hours accepted at the receiving institution (may differ from source),number,,False,,confidential,True,False,core/resources/transfer_credit.json
transfer_status,TransferCredit,Enrollment & Registration,,string,,True,"enum: pending_evaluation, accepted, denied, partially_accepted, expired",confidential,True,False,core/resources/transfer_credit.json
applies_to,TransferCredit,Enrollment & Registration,How the transfer credit applies to the student's degree requirements,string,,False,"enum: major_requirement, minor_requirement, general_education, elective, prerequisite...",confidential,True,False,core/resources/transfer_credit.json
evaluation_date,TransferCredit,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/transfer_credit.json
evaluated_by,TransferCredit,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/transfer_credit.json
counts_toward_gpa,TransferCredit,Enrollment & Registration,Whether transfer credit is included in the institutional GPA calculation,boolean,,False,,confidential,True,False,core/resources/transfer_credit.json
helix/admission-status/submitted,Terminology: Admission Status,Terminology,Application received by the institution,code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/in_review,Terminology: Admission Status,Terminology,Application is being evaluated by admissions staff or committee,code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/incomplete,Terminology: Admission Status,Terminology,"Application is missing required materials (transcripts, test scores, essays, etc.)",code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/admitted,Terminology: Admission Status,Terminology,Full admission offered,code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/conditionally_admitted,Terminology: Admission Status,Terminology,"Admission contingent on meeting specified conditions (e.g., final transcript, GPA threshold)",code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/denied,Terminology: Admission Status,Terminology,Application was not approved for admission,code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/waitlisted,Terminology: Admission Status,Terminology,Applicant placed on a waiting list pending space availability,code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/deferred,Terminology: Admission Status,Terminology,Decision postponed to a future review cycle (common in early decision/action),code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/cancelled,Terminology: Admission Status,Terminology,"Application cancelled by the institution (e.g., duplicate, fraud)",code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/admission-status/withdrawn,Terminology: Admission Status,Terminology,Applicant voluntarily withdrew their application,code,,False,helix/admission-status,public,False,False,core/terminologies/admission-status.json
helix/award-type/grant,Terminology: Financial Aid Award Type,Terminology,"Gift aid that does not need to be repaid (e.g., Pell Grant)",code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/scholarship,Terminology: Financial Aid Award Type,Terminology,Merit- or criteria-based gift aid that does not need to be repaid,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/loan_subsidized,Terminology: Financial Aid Award Type,Terminology,Need-based loan where the government pays interest while student is enrolled,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/loan_unsubsidized,Terminology: Financial Aid Award Type,Terminology,Non-need-based loan where interest accrues from disbursement,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/loan_plus,Terminology: Financial Aid Award Type,Terminology,Federal loan for parents of dependent undergrads or graduate/professional students,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/loan_private,Terminology: Financial Aid Award Type,Terminology,"Loan from a private lender, not part of federal programs",code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/work_study,Terminology: Financial Aid Award Type,Terminology,Earnings from a federally or institutionally funded part-time employment program,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/waiver,Terminology: Financial Aid Award Type,Terminology,Full or partial waiver of tuition or fees,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/fellowship,Terminology: Financial Aid Award Type,Terminology,"Financial support for graduate students, typically for research or academic merit",code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/assistantship,Terminology: Financial Aid Award Type,Terminology,Graduate teaching or research assistantship with stipend and/or tuition remission,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/award-type/other,Terminology: Financial Aid Award Type,Terminology,An award type not covered by the standard codes,code,,False,helix/award-type,public,False,False,core/terminologies/award-type.json
helix/constituent-type/alumnus,Terminology: Constituent Type,Terminology,Graduate or former student of the institution,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/donor,Terminology: Constituent Type,Terminology,Any individual who has made a gift (may overlap with other types),code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/parent,Terminology: Constituent Type,Terminology,Parent or family member of a current or former student,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/friend,Terminology: Constituent Type,Terminology,Non-alumni individual with institutional affinity,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/faculty_staff,Terminology: Constituent Type,Terminology,Current or former employee,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/corporation,Terminology: Constituent Type,Terminology,Corporate entity for matching gifts or sponsorships,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/foundation,Terminology: Constituent Type,Terminology,Private or community foundation,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/organization,Terminology: Constituent Type,Terminology,"Non-profit, association, or other entity",code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/prospect,Terminology: Constituent Type,Terminology,Identified potential donor not yet in the giving pipeline,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/constituent-type/other,Terminology: Constituent Type,Terminology,Other,code,,False,helix/constituent-type,public,False,False,core/terminologies/constituent-type.json
helix/course-level/developmental,Terminology: Course Level,Terminology,Below college-level. Does not count toward degree credit.,code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/undergraduate_lower,Terminology: Course Level,Terminology,100-200 level. Introductory and foundational courses.,code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/undergraduate_upper,Terminology: Course Level,Terminology,300-400 level. Advanced undergraduate courses requiring prerequisites.,code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/graduate,Terminology: Course Level,Terminology,500-600 level (convention varies). Master's-level coursework.,code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/doctoral,Terminology: Course Level,Terminology,"700+ level. Doctoral seminars, research, dissertation hours.",code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/professional,Terminology: Course Level,Terminology,"Professional program courses (law, medicine, etc.) with their own numbering conventions.",code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/non_credit,Terminology: Course Level,Terminology,"Continuing education, professional development, or community courses not carrying academic credit.",code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/course-level/other,Terminology: Course Level,Terminology,Other,code,,False,helix/course-level,public,False,False,core/terminologies/course-level.json
helix/data-classification/public,Terminology: Data Classification,Terminology,"Data approved for unrestricted public access (e.g., course catalog, institution name)",code,,False,helix/data-classification,public,False,False,core/terminologies/data-classification.json
helix/data-classification/internal,Terminology: Data Classification,Terminology,"Data intended for institutional use only (e.g., enrollment counts, section capacity)",code,,False,helix/data-classification,public,False,False,core/terminologies/data-classification.json
helix/data-classification/confidential,Terminology: Data Classification,Terminology,"Data protected by regulation or policy (e.g., student PII, grades, financial aid). FERPA-protected data falls here at minimum.",code,,False,helix/data-classification,public,False,False,core/terminologies/data-classification.json
helix/data-classification/restricted,Terminology: Data Classification,Terminology,"Highly sensitive data requiring strict access controls (e.g., SSN, health records, disciplinary records)",code,,False,helix/data-classification,public,False,False,core/terminologies/data-classification.json
helix/degree-level/certificate_undergraduate,Terminology: Degree Level,Terminology,Sub-baccalaureate certificate (less than 1 year or 1-2 years),code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/associate,Terminology: Degree Level,Terminology,"Two-year degree (AA, AS, AAS, etc.)",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/bachelors,Terminology: Degree Level,Terminology,"Four-year baccalaureate degree (BA, BS, BFA, etc.)",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/certificate_post_baccalaureate,Terminology: Degree Level,Terminology,Post-Baccalaureate Certificate,code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/masters,Terminology: Degree Level,Terminology,"Graduate-level master's degree (MA, MS, MBA, MFA, etc.)",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/certificate_post_masters,Terminology: Degree Level,Terminology,"e.g., Education Specialist (EdS)",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/doctoral_research,Terminology: Degree Level,Terminology,"PhD, EdD (research-focused), DMA, etc.",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/doctoral_professional,Terminology: Degree Level,Terminology,"MD, JD, DDS, PharmD, DPT, etc.",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/professional,Terminology: Degree Level,Terminology,Legacy IPEDS category. Being phased into doctoral_professional.,code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/non_degree,Terminology: Degree Level,Terminology,Enrollment without pursuit of a formal credential,code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/micro_credential,Terminology: Degree Level,Terminology,"Short-form credential, often competency-based or industry-aligned",code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/degree-level/other,Terminology: Degree Level,Terminology,Other,code,,False,helix/degree-level,public,False,False,core/terminologies/degree-level.json
helix/delivery-mode/in_person,Terminology: Delivery Mode,Terminology,Traditional face-to-face instruction in a physical classroom,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/online_synchronous,Terminology: Delivery Mode,Terminology,"Online instruction with scheduled real-time meetings (via Zoom, Teams, etc.)",code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/online_asynchronous,Terminology: Delivery Mode,Terminology,Online instruction with no scheduled meeting times. Students access materials on their own schedule.,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/hybrid,Terminology: Delivery Mode,Terminology,"Mix of in-person and online components, with reduced in-person seat time",code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/hyflex,Terminology: Delivery Mode,Terminology,Students choose per-session whether to attend in person or online synchronously,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/competency_based,Terminology: Delivery Mode,Terminology,Progress based on demonstrated mastery rather than seat time,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/correspondence,Terminology: Delivery Mode,Terminology,Self-paced study via mailed or digital materials with limited instructor interaction,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/clinical,Terminology: Delivery Mode,Terminology,"Supervised hands-on experience in a clinical, field, or professional setting",code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/internship,Terminology: Delivery Mode,Terminology,Work-integrated learning in a professional setting,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/independent_study,Terminology: Delivery Mode,Terminology,Student-directed study under faculty supervision,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/delivery-mode/other,Terminology: Delivery Mode,Terminology,Other,code,,False,helix/delivery-mode,public,False,False,core/terminologies/delivery-mode.json
helix/donor-segment/non_donor,Terminology: Donor Segment,Terminology,Constituent has never made a gift,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/first_time,Terminology: Donor Segment,Terminology,Made their first gift in the current fiscal year,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/renewing,Terminology: Donor Segment,Terminology,Gave last year and gave again this year at the same level,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/upgrading,Terminology: Donor Segment,Terminology,Gave last year and increased their giving this year,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/downgrading,Terminology: Donor Segment,Terminology,Gave last year but decreased their giving this year,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/loyal,Terminology: Donor Segment,Terminology,Has given consecutively for 3+ years,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/lapsed,Terminology: Donor Segment,Terminology,Previously gave but has not given in the last 1-2 fiscal years,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/deep_lapsed,Terminology: Donor Segment,Terminology,Previously gave but has not given in 3+ fiscal years,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/major,Terminology: Donor Segment,Terminology,Cumulative or single-gift giving at the institution's major gift threshold (typically $25K-$100K+),code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/planned_giving,Terminology: Donor Segment,Terminology,"Has documented a planned gift (bequest, trust, beneficiary designation)",code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/donor-segment/recaptured,Terminology: Donor Segment,Terminology,Was lapsed but made a new gift this year,code,,False,helix/donor-segment,public,False,False,core/terminologies/donor-segment.json
helix/enrollment-funnel-stage/suspect,Terminology: Enrollment Funnel Stage,Terminology,"Name purchased or scraped from College Board, ACT, NRCCUA, or other list source. No interaction yet.",code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/inquiry,Terminology: Enrollment Funnel Stage,Terminology,"Student has initiated contact: RFI form, campus visit request, email, test score send, or fair card.",code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/applicant,Terminology: Enrollment Funnel Stage,Terminology,Student has submitted an application for admission.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/admitted,Terminology: Enrollment Funnel Stage,Terminology,Application approved. Admit letter/package sent.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/confirmed,Terminology: Enrollment Funnel Stage,Terminology,"Student has paid enrollment deposit, confirming intent to enroll.",code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/registered,Terminology: Enrollment Funnel Stage,Terminology,Student has completed orientation and/or registered for courses.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/enrolled,Terminology: Enrollment Funnel Stage,Terminology,Student attended first day/census. Officially counted in enrollment.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/melted,Terminology: Enrollment Funnel Stage,Terminology,Student confirmed/deposited but did not register or attend. Lost between confirmation and enrollment.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/denied,Terminology: Enrollment Funnel Stage,Terminology,Application was not approved.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-funnel-stage/withdrawn,Terminology: Enrollment Funnel Stage,Terminology,Student withdrew application or rescinded deposit before enrollment.,code,,False,helix/enrollment-funnel-stage,public,False,False,core/terminologies/enrollment-funnel-stage.json
helix/enrollment-status/registered,Terminology: Enrollment Status,Terminology,Student has registered but the term has not started or census has not passed,code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/waitlisted,Terminology: Enrollment Status,Terminology,Student is on a waitlist for the section,code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/enrolled,Terminology: Enrollment Status,Terminology,Student is confirmed enrolled (post-census or post-start),code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/dropped,Terminology: Enrollment Status,Terminology,Student dropped the course before the institution's drop deadline (typically no record on transcript),code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/withdrawn,Terminology: Enrollment Status,Terminology,Student withdrew after the drop deadline (typically a 'W' on transcript),code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/completed,Terminology: Enrollment Status,Terminology,Student completed the course and received a final grade,code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/incomplete,Terminology: Enrollment Status,Terminology,Student received an incomplete grade with a deadline for completion,code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/enrollment-status/auditing,Terminology: Enrollment Status,Terminology,Student is attending the course without receiving credit or a grade,code,,False,helix/enrollment-status,public,False,False,core/terminologies/enrollment-status.json
helix/ethnicity/hispanic_latino,Terminology: Ethnicity/Race,Terminology,"A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race",code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/american_indian_alaska_native,Terminology: Ethnicity/Race,Terminology,American Indian or Alaska Native,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/asian,Terminology: Ethnicity/Race,Terminology,Asian,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/black_african_american,Terminology: Ethnicity/Race,Terminology,Black or African American,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/native_hawaiian_pacific_islander,Terminology: Ethnicity/Race,Terminology,Native Hawaiian or Other Pacific Islander,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/white,Terminology: Ethnicity/Race,Terminology,White,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/two_or_more,Terminology: Ethnicity/Race,Terminology,Derived category for IPEDS reporting. Calculated when multiple race codes are selected.,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/nonresident_alien,Terminology: Ethnicity/Race,Terminology,IPEDS category for international students on non-immigrant visas. NOT a race/ethnicity; used as an IPEDS reporting overlay.,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/unknown,Terminology: Ethnicity/Race,Terminology,Person declined to report or data is not available,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
helix/ethnicity/other,Terminology: Ethnicity/Race,Terminology,A category not captured above. Document in institution or country-specific profile.,code,,False,helix/ethnicity,public,False,False,core/terminologies/ethnicity.json
